,Name of movie,Year of relase,Description,Director,Genre,Star,Watchtime,Votes,Gross collection,Movie Rating,Metascore
533,Knockin' on Heaven's Door,1997,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Not Rated,Action Crime Comedy,['87 min'],87,"28,911",$0.00M,7.9,^^^^^^
534,Boogie Nights,1997,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",R,Drama,['155 min'],155,"249,989",$26.40M,7.9,85
535,Whisper of the Heart,1995,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",G,Animation Drama Family,['111 min'],111,"56,802",*****,7.9,75
536,Once Were Warriors,1994,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,R,Crime Drama,['102 min'],102,"32,781",$2.20M,7.9,77
537,True Romance,1993,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",R,Crime Drama Romance,['119 min'],119,"216,616",$12.28M,7.9,59
538,Three Colors: Blue,1993,A woman struggles to find a way to live her life after the death of her husband and child.,R,Drama Music Mystery,['94 min'],94,"96,202",$1.32M,7.9,85
539,Ninja Scroll,1993,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,Not Rated,Animation Action Adventure,['94 min'],94,"35,900",*****,7.9,^^^^^^
540,Carlito's Way,1993,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",R,Crime Drama Thriller,['144 min'],144,"208,137",$36.95M,7.9,65
541,Edward Scissorhands,1990,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",PG-13,Drama Fantasy Romance,['105 min'],105,"460,793",$56.36M,7.9,74
542,My Left Foot,1989,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",R,Biography Drama,['103 min'],103,"71,204",$14.74M,7.9,97
543,Kiki's Delivery Service,1989,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",G,Animation Adventure Drama,['103 min'],103,"132,917",*****,7.9,83
544,Crimes and Misdemeanors,1989,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,PG-13,Comedy Drama,['104 min'],104,"56,446",$18.25M,7.9,77
545,The Untouchables,1987,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",R,Crime Drama Thriller,['119 min'],119,"294,306",$76.27M,7.9,79
546,Hannah and Her Sisters,1986,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",PG-13,Comedy Drama,['107 min'],107,"69,395",$40.08M,7.9,90
547,Brazil,1985,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,R,Drama Sci-Fi,['132 min'],132,"194,588",$9.93M,7.9,84
548,This Is Spinal Tap,1984,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",R,Comedy Music,['82 min'],82,"134,642",$4.74M,7.9,92
549,A Christmas Story,1983,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",PG,Comedy Family,['93 min'],93,"136,827",$20.61M,7.9,77
550,The Blues Brothers,1980,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",R,Action Adventure Comedy,['133 min'],133,"189,980",$57.23M,7.9,60
551,Manhattan,1979,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,R,Comedy Drama Romance,['96 min'],96,"136,411",$45.70M,7.9,83
552,All That Jazz,1979,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",R,Drama Music Musical,['123 min'],123,"29,786",$37.82M,7.9,72
553,Dawn of the Dead,1978,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",Unrated,Horror Thriller,['127 min'],127,"115,611",$5.10M,7.9,71
554,The Holy Mountain,1973,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",R,Adventure Drama Fantasy,['114 min'],114,"39,923",$0.06M,7.9,76
555,Amarcord,1973,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,R,Comedy Drama,['123 min'],123,"41,683",$0.58M,7.9,^^^^^^
556,The Discreet Charm of the Bourgeoisie,1972,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",PG,Comedy,['102 min'],102,"40,891",$0.20M,7.9,93
557,"Aguirre, the Wrath of God",1972,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Not Rated,Action Adventure Biography,['95 min'],95,"54,733",*****,7.9,^^^^^^
558,Harold and Maude,1971,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",PG,Comedy Drama Romance,['91 min'],91,"74,729",*****,7.9,62
559,Patton,1970,The World War II phase of the career of controversial American general George S. Patton.,GP,Biography Drama War,['172 min'],172,"98,408",$61.70M,7.9,91
560,The Wild Bunch,1969,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",R,Action Adventure Western,['135 min'],135,"81,559",$12.06M,7.9,97
561,Night of the Living Dead,1968,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,Not Rated,Horror Thriller,['96 min'],96,"121,556",$0.09M,7.9,89
562,The Lion in Winter,1968,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",PG,Biography Drama History,['134 min'],134,"30,276",$22.28M,7.9,^^^^^^
563,In the Heat of the Night,1967,A black police detective is asked to investigate a murder in a racially hostile southern town.,Approved,Crime Drama Mystery,['110 min'],110,"70,848",$24.38M,7.9,75
564,Charade,1963,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Passed,Comedy Mystery Romance,['113 min'],113,"72,785",$13.47M,7.9,83
565,The Manchurian Candidate,1962,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,PG-13,Drama Thriller,['126 min'],126,"73,457",*****,7.9,94
566,Spartacus,1960,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,PG-13,Adventure Biography Drama,['197 min'],197,"129,772",$30.00M,7.9,87
567,L'Avventura,1960,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Not Rated,Drama Mystery Romance,['144 min'],144,"28,090",*****,7.9,^^^^^^
568,Hiroshima Mon Amour,1959,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,Not Rated,Drama Romance,['90 min'],90,"30,073",$0.09M,7.9,^^^^^^
569,The Ten Commandments,1956,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",G,Adventure Drama,['220 min'],220,"67,107",$93.74M,7.9,^^^^^^
570,The Searchers,1956,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,Passed,Adventure Drama Western,['119 min'],119,"85,185",*****,7.9,94
571,East of Eden,1955,"Two brothers struggle to maintain their strict, Bible-toting father's favor.",PG,Drama,['118 min'],118,"43,563",*****,7.9,72
572,Harvey,1950,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Approved,Comedy Drama Fantasy,['104 min'],104,"54,092",*****,7.9,^^^^^^
573,Miracle on 34th Street,1947,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",Not Rated,Comedy Drama Family,['96 min'],96,"44,066",$2.65M,7.9,88
574,The Big Sleep,1946,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",Passed,Crime Film-Noir Mystery,['114 min'],114,"82,645",$6.54M,7.9,^^^^^^
575,The Lost Weekend,1945,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Passed,Drama Film-Noir,['101 min'],101,"35,367",$9.46M,7.9,^^^^^^
576,The Philadelphia Story,1940,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",Not Rated,Comedy Romance,['112 min'],112,"66,187",*****,7.9,96
577,His Girl Friday,1940,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,Passed,Comedy Drama Romance,['92 min'],92,"56,052",$0.30M,7.9,^^^^^^
578,Stagecoach,1939,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,Passed,Adventure Drama Western,['96 min'],96,"46,137",*****,7.9,93
579,Bringing Up Baby,1938,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Passed,Comedy Family Romance,['102 min'],102,"58,932",*****,7.9,91
580,The Adventures of Robin Hood,1938,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",PG,Action Adventure Romance,['102 min'],102,"49,109",$3.98M,7.9,97
581,A Night at the Opera,1935,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,Passed,Comedy Music Musical,['96 min'],96,"31,780",$2.54M,7.9,^^^^^^
582,King Kong,1933,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,Passed,Adventure Horror Sci-Fi,['100 min'],100,"82,444",$10.00M,7.9,90
583,Freaks,1932,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",Not Rated,Drama Horror,['64 min'],64,"43,915",*****,7.9,80
584,Nosferatu,1922,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Not Rated,Fantasy Horror,['94 min'],94,"92,188",*****,7.9,^^^^^^
585,The Gentlemen,2019,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",R,Action Comedy Crime,['113 min'],113,"280,967",*****,7.8,51
586,Badla,2019,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,Not Rated,Crime Drama Mystery,['118 min'],118,"25,389",*****,7.8,^^^^^^
587,Raazi,2018,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,Not Rated,Action Drama Thriller,['138 min'],138,"27,933",*****,7.8,^^^^^^
588,Sound of Metal,2019,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,R,Drama Music,['120 min'],120,"104,596",*****,7.8,82
589,Dunkirk,2017,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",PG-13,Action Drama History,['106 min'],106,"594,451",$188.37M,7.8,94
590,Perfect Strangers,2016,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles.",96 min,Comedy Drama,"['Comedy', 'Drama']",96,"60,616",*****,7.8,^^^^^^
591,Hidden Figures,2016,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,PG,Biography Drama History,['127 min'],127,"211,825",$169.61M,7.8,74
592,Paddington 2,2017,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",PG,Animation Adventure Comedy,['103 min'],103,"67,698",$40.44M,7.8,88
593,Udta Punjab,2016,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,Not Rated,Action Crime Drama,['148 min'],148,"28,782",*****,7.8,^^^^^^
594,Kubo and the Two Strings,2016,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,PG,Animation Action Adventure,['101 min'],101,"123,008",$48.02M,7.8,84
595,Manchester by the Sea,2016,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,R,Drama,['137 min'],137,"261,217",$47.70M,7.8,96
596,Land of Mine,2015,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",R,Drama History War,['100 min'],100,"38,436",$0.44M,7.8,75
597,Rogue One: A Star Wars Story,2016,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",PG-13,Action Adventure Sci-Fi,['133 min'],133,"579,770",$532.18M,7.8,65
598,Captain America: Civil War,2016,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,PG-13,Action Adventure Sci-Fi,['147 min'],147,"707,938",$408.08M,7.8,75
599,The Hateful Eight,2015,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",R,Crime Drama Mystery,['168 min'],168,"549,834",$54.12M,7.8,68
600,Little Women,2019,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",PG,Drama Romance,['135 min'],135,"164,984",$108.10M,7.8,91
601,Loving Vincent,2017,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",PG-13,Animation Biography Crime,['94 min'],94,"54,133",$6.74M,7.8,62
602,Pride,I 2014,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,R,Biography Comedy Drama,['119 min'],119,"54,246",*****,7.8,79
603,Nightcrawler,2014,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",R,Crime Drama Thriller,['117 min'],117,"494,825",$32.38M,7.8,76
604,Star Wars: Episode VII - The Force Awakens,2015,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",PG-13,Action Adventure Sci-Fi,['138 min'],138,"884,452",$936.66M,7.8,80
605,The Great Beauty,2013,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",Not Rated,Drama,['141 min'],141,"84,414",$2.85M,7.8,86
606,The Lunchbox,2013,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,PG,Drama Romance,['104 min'],104,"53,249",$4.23M,7.8,76
607,Vicky Donor,2012,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Not Rated,Comedy Romance,['126 min'],126,"41,489",$0.17M,7.8,^^^^^^
608,Big Hero 6,2014,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",PG,Animation Action Adventure,['102 min'],102,"429,166",$222.53M,7.8,74
609,Kai Po Che,2013,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,Not Rated,Drama Sport,['120 min'],120,"35,307",$1.12M,7.8,40
610,About Time,I 2013,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",R,Comedy Drama Fantasy,['123 min'],123,"322,152",$15.32M,7.8,55
611,English Vinglish,2012,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",Not Rated,Comedy Drama Family,['134 min'],134,"34,989",$1.67M,7.8,^^^^^^
612,The Wind Rises,2013,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",PG-13,Animation Biography Drama,['126 min'],126,"78,908",$5.21M,7.8,83
613,The Best Offer,2013,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,R,Crime Drama Mystery,['131 min'],131,"113,166",$0.09M,7.8,49
614,Moonrise Kingdom,2012,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",PG-13,Comedy Drama Romance,['94 min'],94,"331,086",$45.51M,7.8,84
615,How to Train Your Dragon 2,2014,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",PG,Animation Action Adventure,['102 min'],102,"316,730",$177.00M,7.8,76
616,The Big Short,2015,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.",R,Biography Comedy Drama,['130 min'],130,"389,583",$70.26M,7.8,81
617,I Saw the Devil,2010,A secret agent exacts revenge on a serial killer through a series of captures and releases.,Not Rated,Action Crime Drama,['144 min'],144,"119,323",$0.13M,7.8,67
618,The Girl with the Dragon Tattoo,2011,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",R,Crime Drama Mystery,['158 min'],158,"439,690",$102.52M,7.8,71
619,Captain Phillips,2013,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",PG-13,Adventure Biography Crime,['134 min'],134,"437,431",$107.10M,7.8,82
620,The Man from Nowhere,2010,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,R,Action Crime Drama,['119 min'],119,"66,131",$0.01M,7.8,^^^^^^
621,Straight Outta Compton,2015,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",R,Biography Drama History,['147 min'],147,"188,280",$161.20M,7.8,72
622,The Irishman,2019,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,R,Biography Crime Drama,['209 min'],209,"350,944",$7.00M,7.8,94
623,Mother,2009,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,R,Crime Drama Mystery,['129 min'],129,"58,328",$0.55M,7.8,79
624,The Chaser,2008,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,Not Rated,Action Crime Thriller,['125 min'],125,"62,020",*****,7.8,64
625,Moon,2009,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",R,Drama Mystery Sci-Fi,['97 min'],97,"345,256",$5.01M,7.8,67
626,The Hobbit: The Desolation of Smaug,2013,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",PG-13,Adventure Fantasy,['161 min'],161,"621,289",$258.37M,7.8,66
627,The White Ribbon,2009,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",R,Drama History Mystery,['144 min'],144,"71,030",$2.22M,7.8,82
628,The Girl with the Dragon Tattoo,2009,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,R,Crime Drama Mystery,['152 min'],152,"212,389",$10.10M,7.8,76
629,The Trial of the Chicago 7,2020,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",R,Drama History Thriller,['129 min'],129,"157,709",*****,7.8,76
630,Another Round,2020,Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,Not Rated,Comedy Drama,['117 min'],117,"108,219",*****,7.8,79
631,The Fighter,I 2010,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",R,Biography Drama Sport,['116 min'],116,"351,174",$93.62M,7.8,79
632,Taken,I 2008,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",PG-13,Action Crime Thriller,['90 min'],90,"579,898",$145.00M,7.8,51
633,The Boy in the Striped Pajamas,2008,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",PG-13,Drama History War,['94 min'],94,"199,932",$9.03M,7.8,55
634,Once,I 2007,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",R,Drama Music Romance,['86 min'],86,"113,419",$9.44M,7.8,88
635,The Hobbit: An Unexpected Journey,2012,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",PG-13,Adventure Fantasy,['169 min'],169,"780,078",$303.00M,7.8,58
636,The Edge of Heaven,2007,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,Not Rated,Drama,['122 min'],122,"31,525",$0.74M,7.8,85
637,Atonement,2007,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,R,Drama Mystery Romance,['123 min'],123,"262,422",$50.93M,7.8,85
638,Drive,I 2011,An action drama about a mysterious Hollywood stuntman and mechanic moonlighting as a getaway driver finding himself in trouble when he helps out his neighbor.,R,Crime Drama,['100 min'],100,"594,478",$35.06M,7.8,78
639,American Gangster,2007,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",R,Biography Crime Drama,['157 min'],157,"405,860",$130.16M,7.8,76
640,Avatar,2009,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,PG-13,Action Adventure Fantasy,['162 min'],162,"1,155,282",$760.51M,7.8,83
641,Mr. Nobody,2009,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",R,Drama Fantasy Romance,['141 min'],141,"223,948",$0.00M,7.8,63
642,Apocalypto,2006,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",R,Action Adventure Drama,['139 min'],139,"299,408",$50.87M,7.8,68
643,The Fall,2006,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",R,Adventure Drama Fantasy,['117 min'],117,"109,552",$2.28M,7.8,64
644,Little Miss Sunshine,2006,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,R,Comedy Drama,['101 min'],101,"454,497",$59.89M,7.8,80
645,Hot Fuzz,2007,A skilled London police officer is transferred to a small town with a dark secret.,R,Action Comedy Mystery,['121 min'],121,"481,637",$23.64M,7.8,81
646,The Curious Case of Benjamin Button,2008,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",PG-13,Drama Fantasy Romance,['166 min'],166,"613,366",$127.51M,7.8,70
647,Veer-Zaara,2004,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Not Rated,Drama Family Musical,['192 min'],192,"51,067",$2.92M,7.8,67
648,Adam's Apples,2005,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,R,Comedy Crime Drama,['94 min'],94,"48,148",$0.00M,7.8,51
649,Pride & Prejudice,2005,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",PG,Drama Romance,['129 min'],129,"272,896",$38.41M,7.8,82
650,The World's Fastest Indian,2005,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",PG-13,Biography Drama Sport,['127 min'],127,"53,350",$5.13M,7.8,68
651,Tokyo Godfathers,2003,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",PG-13,Animation Adventure Comedy,['92 min'],92,"34,373",$0.13M,7.8,73
652,Serenity,2005,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,PG-13,Action Adventure Sci-Fi,['119 min'],119,"289,046",$25.51M,7.8,74
653,Walk the Line,2005,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",PG-13,Biography Drama Music,['136 min'],136,"241,266",$119.52M,7.8,72
654,Evil,2003,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",Not Rated,Drama,['113 min'],113,"36,707",$0.02M,7.8,61
655,The Notebook,2004,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",PG-13,Drama Romance,['123 min'],123,"540,106",$81.00M,7.8,53
656,The Motorcycle Diaries,2004,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,R,Adventure Biography Drama,['126 min'],126,"99,094",$16.76M,7.8,75
657,Lilya 4-Ever,2002,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",R,Crime Drama,['109 min'],109,"44,214",$0.18M,7.8,82
658,The Triplets of Belleville,2003,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",PG-13,Animation Comedy Drama,['80 min'],80,"53,166",$7.00M,7.8,91
659,Joint Security Area,2000,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",Not Rated,Action Drama Thriller,['110 min'],110,"28,271",*****,7.8,58
660,Waking Life,2001,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,R,Animation Drama Fantasy,['99 min'],99,"62,397",$2.89M,7.8,83
661,Remember the Titans,2000,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,PG,Biography Drama Sport,['113 min'],113,"204,622",$115.65M,7.8,48
662,"Crouching Tiger, Hidden Dragon",2000,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,PG-13,Action Adventure Fantasy,['120 min'],120,"260,597",$128.08M,7.8,94
663,Cast Away,2000,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,PG-13,Adventure Drama Romance,['143 min'],143,"550,889",$233.63M,7.8,73
664,The Insider,1999,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,R,Biography Drama Thriller,['157 min'],157,"165,859",$28.97M,7.8,84
665,October Sky,1999,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",PG,Biography Drama Family,['108 min'],108,"86,774",$32.48M,7.8,71
